Year,Team,Revenue,Expense,Payroll,Operating Income,NHL Points,NHL Win Per,Population,Adjusted Rev,Adjusted Exp,Adjusted Payroll,Adjusted Payroll (Million),Adjusted Income
2018,Dallas Stars,$144 ,$130 ,"$74,724,071",$14 ,92,0.512,"7,455,756",$135.76,$122.56,"$70,447,612.42",$70.4476,13.19878
2018,Detroit Red Wings,$171 ,$138 ,"$66,917,504",$33 ,73,0.366,"4,322,084",$161.21,$130.10,"$63,087,815.25",$63.0878,31.11141
2018,Edmonton Oilers,$145 ,$124 ,"$63,310,213",$21 ,78,0.439,"1,415,351",$136.70,$116.90,"$59,686,969.51",$59.6870,19.79817
2018,Florida Panthers,$99 ,$120 ,"$69,282,341",($21),96,0.537,"6,143,837",$93.33,$113.13,"$65,317,312.62",$65.3173,-19.79817
2018,Los Angeles Kings,$193 ,$149 ,"$73,859,315",$44 ,98,0.549,"13,249,879",$181.95,$140.47,"$69,632,346.40",$69.6323,41.48188
2018,Minnesota Wild,$142 ,$138 ,"$75,336,765",$4.50 ,101,0.549,"3,610,061",$133.87,$129.63,"$71,025,241.94",$71.0252,4.242465
2018,Montreal Canadiens,$239 ,$137 ,"$61,260,710",$102 ,71,0.354,"4,264,846",$225.32,$129.16,"$57,754,759.57",$57.7548,96.16254
2018,Nashville Predators,$132 ,$127 ,"$72,340,995",$4.60 ,117,0.646,"1,904,726",$124.45,$120.11,"$68,200,919.86",$68.2009,4.336742
2018,New Jersey Devils,$166 ,$146 ,"$75,442,295",$20 ,97,0.537,"19,276,644",$156.50,$137.64,"$71,124,732.46",$71.1247,18.8554
2018,New York Islanders,$107 ,$120 ,"$73,381,934",($13),80,0.427,"19,276,644",$100.88,$113.13,"$69,182,285.92",$69.1823,-12.25601
2018,New York Rangers,$253 ,$146 ,"$68,255,896",$107 ,77,0.415,"19,276,644",$238.52,$137.64,"$64,349,611.07",$64.3496,100.87639
2018,Ottawa Senators,$124 ,$122 ,"$62,506,310",$1.60 ,67,0.341,"1,411,032",$116.90,$115.40,"$58,929,073.88",$58.9291,1.508432
2018,Philadelphia Flyers,$186 ,$149 ,"$74,933,174",$37 ,98,0.512,"6,091,208",$175.36,$140.47,"$70,644,748.45",$70.6447,34.88249
2018,Pittsburgh Penguins,$185 ,$142 ,"$74,369,360",$43 ,100,0.573,"2,322,653",$174.41,$133.87,"$70,113,201.53",$70.1132,40.53911
2018,San Jose Sharks,$148 ,$136 ,"$73,969,118",$12 ,100,0.549,"1,993,804",$139.53,$128.22,"$69,735,865.38",$69.7359,11.31324
2018,St. Louis Blues,$148 ,$138 ,"$70,349,801",$10 ,94,0.537,"2,803,958",$139.53,$130.10,"$66,323,681.89",$66.3237,9.4277
2018,Tampa Bay Lightning,$146 ,$139 ,"$78,018,887",$7.30 ,113,0.659,"3,154,649",$137.64,$130.76,"$73,553,866.10",$73.5539,6.882221
2018,Toronto Maple Leafs,$232 ,$138 ,"$69,701,776",$94 ,105,0.598,"6,337,780",$218.72,$130.10,"$65,712,743.36",$65.7127,88.62038
2018,Vancouver Canucks,$168 ,$131 ,"$70,446,295",$37 ,73,0.378,"2,658,582",$158.39,$123.50,"$66,414,653.54",$66.4147,34.88249
2018,Vegas Golden Knights,$180 ,$127 ,"$75,041,028",$53 ,#N/A,#N/A,"2,226,115",$169.70,$119.73,"$70,746,429.97",$70.7464,49.96681
2018,Washington Capitals,$194 ,$148 ,"$77,332,485",$46 ,105,0.598,"6,247,841",$182.90,$139.53,"$72,906,746.88",$72.9067,43.36742
2018,Winnipeg Jets,$135 ,$124 ,"$74,719,851",$11 ,114,0.634,#N/A,$127.27,$116.90,"$70,443,633.93",$70.4436,10.37047
